Time,Encoder,Drag,Pitch,Roll,Heave
Seconds,Meters,Newtons,Degrees,Degrees,mm
0.0000,0.0049687251,-0.4045573616,4.2692915658,0.3353839012,-0.9136106770
0.0100,0.0049687251,-0.3975049994,4.2207826517,0.3158412000,-0.9636388005
0.0200,0.0049687251,-0.4559388573,4.2304844345,0.2669844468,-0.7635263059
0.0300,0.0049687251,-0.5083278334,4.2013790860,0.2376703947,0.8123596383
0.0400,0.0049687251,-0.3793703538,4.2207826517,0.2962984987,-0.2132169384
0.0500,0.0049687251,-0.3289963384,4.2013790860,0.2767557974,-0.2132169384
0.0600,0.0049687251,-0.2353006697,4.2013790860,0.2278990441,-1.1887653554
0.0700,0.0049687251,-0.0418644504,4.2207826517,0.2278990441,-0.2382310007
0.0800,0.0049687251,-0.5103427940,4.2304844345,0.3060698494,-0.8885966152
0.0900,0.0049687251,-0.4106022434,4.2013790860,0.2767557974,-0.6134419340
0.1000,0.0049687251,-0.0015652381,4.2110808688,0.2767557974,0.5872330696
0.1100,0.0049687251,0.3127686183,4.2207826517,0.3353839012,-0.1381747511
0.1200,0.0049687251,-0.4710510619,4.2304844345,0.3158412000,-1.1887653554
0.1300,0.0049687251,-0.4186620859,4.2498880002,0.3451552519,-1.1387372322
0.1400,0.0049687251,-0.3783628735,4.1916773031,0.3158412000,-0.0881466261
0.1500,0.0049687251,-0.4166471253,4.1819755203,0.2181276934,-0.2132169384
0.1600,0.0049687251,-0.1637695678,4.1625719545,0.2181276934,-0.9636388005
0.1700,0.0049687251,-0.2010463392,4.2304844345,0.2572130961,-1.0887091090
0.1800,0.0049687251,-0.4680286210,4.2401862173,0.2572130961,-1.6640325209
0.1900,0.0049687251,-0.6473601160,4.2595897830,0.2669844468,-1.5139481537
0.2000,0.0049687251,0.0115320060,4.2304844345,0.2278990441,-1.4639200311
0.2100,0.0049687251,0.0145544469,4.2401862173,0.2962984987,-0.1381747511
0.2200,0.0049687251,-0.1264927963,4.2401862173,0.2962984987,-1.0887091090
0.2300,0.0049687251,-0.2655250790,4.1916773031,0.3256125506,-0.5884278719
0.2400,0.0049687251,-0.6221731083,4.2304844345,0.3158412000,-1.8641450093
0.2500,0.0049687251,-0.2997794095,4.2498880002,0.3646979531,-0.0131044385
0.2600,0.0049687251,-0.5002679909,4.2110808688,0.3060698494,-0.6634700580
0.2700,0.0049687251,-0.0116400411,4.2595897830,0.2767557974,-1.1887653554
0.2800,0.0049687251,0.2482898785,4.2595897830,0.2572130961,-0.1631888135
0.2900,0.0049687251,-0.1113805917,4.2110808688,0.2572130961,-1.1137231706
0.3000,0.0049687251,-0.1738443709,4.2207826517,0.2767557974,-0.0381185010
0.3100,0.0049687251,-0.4045573616,4.2013790860,0.2669844468,-1.6140043986
0.3200,0.0049687251,-0.4670211407,4.2013790860,0.2767557974,-0.4133294369
0.3300,0.0049687251,-0.4065723222,4.2595897830,0.3158412000,-0.3382872501
0.3400,0.0049687251,-0.2473904334,4.1819755203,0.2865271481,0.3120783769
0.3500,0.0049687251,0.5203095619,4.1916773031,0.2669844468,-0.2132169384
0.3600,0.0049687251,-0.1144030326,4.1916773031,0.2572130961,-0.0631325636
0.3700,0.0049687251,-0.3441085430,4.2304844345,0.2962984987,0.4871768174
0.3800,0.0049687251,-0.2987719291,4.2110808688,0.3256125506,-0.5133856856
0.3900,0.0049687251,0.1757512963,4.2401862173,0.3158412000,-0.9386247388
0.4000,0.0049687251,-0.2907120867,4.2789933486,0.2962984987,-1.3638637857
0.4100,0.0049687251,-0.2977644488,4.1819755203,0.2474417454,0.0619377494
0.4200,0.0049687251,-0.3944825585,4.2207826517,0.2865271481,-0.5133856856
0.4300,0.0049687251,-0.1929864967,4.2013790860,0.3549266025,-1.3638637857
0.4400,0.0049687251,-0.5274699592,4.2304844345,0.2962984987,-0.8135544297
0.4500,0.0049687251,-0.1194404342,4.2304844345,0.2181276934,-1.6140043986
0.4600,0.0049687251,-0.3823927948,4.2110808688,0.2181276934,-1.2888216014
0.4700,0.0049687251,0.2412375164,4.2207826517,0.1594995892,-0.2882591255
0.4800,0.0049687251,-0.2222034257,4.1916773031,0.2669844468,-1.4389059698
0.4900,0.0049687251,-0.5597093291,4.2110808688,0.2669844468,-1.1637512938
0.5000,0.0049687251,0.0598910608,4.2498880002,0.3451552519,-0.9136106770
0.5100,0.0049687251,-0.1244778357,4.2207826517,0.3646979531,-1.6140043986
0.5200,0.0049687251,-0.3169065747,4.2110808688,0.3842406543,-0.6884841200
0.5300,0.0049687251,0.0387339743,4.1819755203,0.3353839012,0.1369799374
0.5400,0.0049687251,-0.1788817724,4.2013790860,0.2767557974,-1.1887653554
0.5500,0.0049687251,-0.1547022450,4.1916773031,0.2376703947,1.0875143359
0.5600,0.0049687251,-0.3370561809,4.2692915658,0.2376703947,-1.1887653554
0.5700,0.0049687251,-0.4065723222,4.2304844345,0.2474417454,0.8874018283
0.5800,0.0049687251,-0.1617546072,4.2110808688,0.2572130961,-0.1131606886
0.5900,0.0049687251,0.1052276747,4.2110808688,0.2865271481,-0.5133856856
0.6000,0.0049687251,-0.0005577577,4.2401862173,0.3353839012,-0.4133294369
0.6100,0.0049687251,-0.5143727152,4.2207826517,0.3353839012,-1.2137794169
0.6200,0.0049687251,0.0760107457,4.2498880002,0.3744693037,-1.3638637857
0.6300,0.0049687251,-0.2473904334,4.2013790860,0.3549266025,-0.1882028759
0.6400,0.0049687251,-0.8730357052,4.2595897830,0.3060698494,-1.2387934784
0.6500,0.0049687251,-0.1234703554,4.2110808688,0.2572130961,-0.9386247388
0.6600,0.0049687251,0.0336965728,4.1237648230,0.1692709399,-0.6384559960
0.6700,0.0049687251,-0.4176546056,4.2401862173,0.2572130961,-0.6134419340
0.6800,0.0049687251,-0.3118691732,4.2110808688,0.2572130961,0.1619940001
0.6900,0.0049687251,-0.4378042118,4.2595897830,0.2669844468,-0.2132169384
0.7000,0.0049687251,-0.3884376766,4.2498880002,0.3353839012,0.2870643140
0.7100,0.0049687251,-0.3007868898,4.2013790860,0.3451552519,-0.8635825534
0.7200,0.0049687251,-0.0801487021,4.2595897830,0.3744693037,-1.2137794169
0.7300,0.0049687251,-0.2886971261,4.2110808688,0.3158412000,-0.5634138098
0.7400,0.0049687251,-0.4730660226,4.2304844345,0.2572130961,-0.1631888135
0.7500,0.0049687251,-0.0650364975,4.2013790860,0.2669844468,-1.2387934784
0.7600,0.0049687251,-0.0992908280,4.1722737374,0.1888136413,-0.0131044385
0.7700,0.0049687251,0.0689583836,4.2304844345,0.2474417454,-1.6390184598
0.7800,0.0049687251,-0.0015652381,4.2304844345,0.2767557974,-0.8385684915
0.7900,0.0049687251,-0.3461235037,4.2498880002,0.3353839012,-1.0636950474
0.8000,0.0049687251,-0.5355298017,4.2110808688,0.3549266025,-0.2632450631
0.8100,0.0049687251,-0.2665325593,4.2207826517,0.3158412000,-1.1137231706
0.8200,0.0049687251,0.2261253117,4.2304844345,0.3744693037,-0.4133294369
0.8300,0.0049687251,-0.1919790164,4.1916773031,0.2669844468,-1.0636950474
0.8400,0.0049687251,-0.6272105098,4.2401862173,0.2474417454,0.1369799374
0.8500,0.0049687251,-0.5335148411,4.2013790860,0.2376703947,-0.5133856856
0.8600,0.0049687251,-0.3491459446,4.2401862173,0.2278990441,-0.1131606886
0.8700,0.0049687251,-0.0962683871,4.2304844345,0.2767557974,-0.8885966152
0.8800,0.0049687251,-0.1869416149,4.2013790860,0.2767557974,-0.5383997477
0.8900,0.0049687251,-0.0690664187,4.2789933486,0.3451552519,-0.7385122439
0.9000,0.0049687251,-0.3400786218,4.2013790860,0.3060698494,-0.6884841200
0.9100,0.0049687251,-0.7209061785,4.2207826517,0.3158412000,-1.1137231706
0.9200,0.0049687251,-0.4801183847,4.1528701717,0.2962984987,-1.8141168873
0.9300,0.0049687251,-0.4881782272,4.1819755203,0.2669844468,0.1369799374
0.9400,0.0049687251,-0.0962683871,4.2498880002,0.2474417454,0.0119096241
0.9500,0.0049687251,-0.1849266543,4.1819755203,0.2376703947,-0.8635825534
0.9600,0.0049687251,-0.2574652365,4.2110808688,0.2376703947,0.6622752590
0.9700,0.0049687251,-0.4901931878,4.2013790860,0.2767557974,-1.1387372322
0.9800,0.0049687251,0.0397414546,4.2207826517,0.2767557974,-1.7891028263
0.9900,0.0049687251,-0.2443679925,4.2401862173,0.3158412000,0.3370924397
1.0000,0.0049687251,-0.2544427956,4.2401862173,0.3549266025,0.1870080628
1.0100,0.0049687251,-0.3481384643,4.2692915658,0.3451552519,-0.9136106770
1.0200,0.0049687251,0.1001902731,4.2110808688,0.3256125506,-0.0631325636
1.0300,0.0049687251,-0.0539542141,4.2207826517,0.2767557974,-0.9886528623
1.0400,0.0049687251,-0.3521683855,4.2207826517,0.2669844468,-0.3382872501
1.0500,0.0049687251,-0.6151207461,4.2013790860,0.2083563427,-0.9386247388
1.0600,0.0049687251,-0.2544427956,4.2110808688,0.2083563427,-0.2632450631
1.0700,0.0049687251,-0.6735546040,4.1722737374,0.2962984987,0.2370361884
1.0800,0.0049687251,0.0437713758,4.2401862173,0.2962984987,-1.0887091090
1.0900,0.0049687251,-0.3300038187,4.1722737374,0.2278990441,-0.1381747511
1.1000,0.0049687251,-0.3572057871,4.2207826517,0.3158412000,-0.1381747511
1.1100,0.0049687251,-0.2000388589,4.1916773031,0.3060698494,-1.4639200311
1.1200,0.0049687251,-0.1990313786,4.2207826517,0.2962984987,-0.9636388005
1.1300,0.0049687251,-0.5536644473,4.1916773031,0.2572130961,-0.0131044385
1.1400,0.0049687251,-0.2917195670,4.2401862173,0.2767557974,-0.3132731878
1.1500,0.0049687251,0.1223548399,4.2498880002,0.2962984987,-0.1631888135
1.1600,0.0049687251,-0.0338046079,4.2207826517,0.3060698494,-1.0386809857
1.1700,0.0049687251,-0.0801487021,4.2110808688,0.2865271481,0.2620502512
1.1800,0.0049687251,-0.7682577530,4.2401862173,0.2767557974,-1.1887653554
1.1900,0.0049687251,-0.0801487021,4.2304844345,0.3060698494,-0.2132169384
1.2000,0.0049687251,-0.0831711431,4.2304844345,0.2572130961,-1.2137794169
1.2100,0.0049687251,-0.3662731098,4.2498880002,0.2767557974,-1.0636950474
1.2200,0.0049687251,-0.4609762589,4.2110808688,0.3158412000,-0.8635825534
1.2300,0.0049687251,0.0840705882,4.1819755203,0.2962984987,-1.0887091090
1.2400,0.0049687251,-0.4831408257,4.2207826517,0.3060698494,0.1619940001
1.2500,0.0049687251,-0.5959786202,4.1528701717,0.3060698494,-0.4633575613
1.2600,0.0049687251,-0.5153801955,4.2110808688,0.2572130961,-0.6384559960
1.2700,0.0049687251,-0.4035498813,4.1916773031,0.2865271481,-0.4133294369
1.2800,0.0049687251,-0.6030309824,4.2013790860,0.2865271481,-0.8135544297
