Time,Encoder,Drag,Pitch,Roll,Heave
Seconds,Meters,Newtons,Degrees,Degrees,mm
0.0000,0.0060728862,-0.5314998805,4.2304844345,0.2962984987,-0.6634700580
0.0100,0.0060728862,-0.4982530303,4.2110808688,0.3158412000,-0.4383434991
0.0200,0.0060728862,0.0195918484,4.2304844345,0.3353839012,-0.9386247388
0.0300,0.0060728862,0.1455268870,4.2013790860,0.3842406543,-0.8385684915
0.0400,0.0060728862,-0.0045876790,4.2207826517,0.3353839012,-0.9386247388
0.0500,0.0060728862,-0.0196998836,4.2498880002,0.3353839012,-1.2137794169
0.0600,0.0060728862,-0.3239589369,4.1819755203,0.2865271481,-1.8891590702
0.0700,0.0060728862,-0.4398191724,4.1916773031,0.2767557974,-0.9386247388
0.0800,0.0060728862,-0.4498939755,4.2110808688,0.2865271481,-0.0131044385
0.0900,0.0060728862,-0.1798892527,4.2401862173,0.2474417454,-0.0381185010
0.1000,0.0060728862,-0.0086176002,4.2595897830,0.2767557974,-0.9386247388
0.1100,0.0060728862,-0.4378042118,4.2304844345,0.2376703947,-0.5634138098
0.1200,0.0060728862,-0.4589612982,4.2304844345,0.2474417454,-0.0881466261
0.1300,0.0060728862,-0.1264927963,4.1916773031,0.2865271481,-0.2632450631
0.1400,0.0060728862,-0.2514203546,4.1916773031,0.3060698494,-0.5634138098
0.1500,0.0060728862,-0.0438794110,4.1334666059,0.3256125506,-1.7891028263
0.1600,0.0060728862,-0.6544124781,4.1722737374,0.2669844468,0.6872893222
0.1700,0.0060728862,-0.3652656295,4.2207826517,0.3256125506,-0.0881466261
0.1800,0.0060728862,-0.4116097237,4.2110808688,0.3451552519,-0.4633575613
0.1900,0.0060728862,-0.1264927963,4.2692915658,0.3451552519,-1.3138356629
0.2000,0.0060728862,-0.0378345292,4.2013790860,0.3060698494,-1.3638637857
0.2100,0.0060728862,-0.3410861021,4.2692915658,0.3158412000,-0.2882591255
0.2200,0.0060728862,-0.4992605106,4.1916773031,0.2767557974,-0.5133856856
0.2300,0.0060728862,-0.2554502759,4.2304844345,0.2962984987,-0.9886528623
0.2400,0.0060728862,-0.2433605122,4.2110808688,0.2767557974,0.8623877650
0.2500,0.0060728862,-0.2917195670,4.1819755203,0.2376703947,-1.1387372322
0.2600,0.0060728862,-0.1587321662,4.2304844345,0.3060698494,-0.3132731878
0.2700,0.0060728862,-0.3249664172,4.2013790860,0.3451552519,-1.1887653554
0.2800,0.0060728862,-0.4337742905,4.2595897830,0.3646979531,-0.1882028759
0.2900,0.0060728862,-0.0176849230,4.2304844345,0.3158412000,-0.4383434991
0.3000,0.0060728862,-0.2856746851,4.2207826517,0.3353839012,0.6372611958
0.3100,0.0060728862,-0.1436199616,4.2207826517,0.3744693037,-1.2638075399
0.3200,0.0060728862,-0.1516798041,4.2207826517,0.3158412000,-1.4889340924
0.3300,0.0060728862,-0.3340337400,4.1819755203,0.2669844468,-0.6134419340
0.3400,0.0060728862,-0.2494053940,4.1528701717,0.2278990441,-1.3638637857
0.3500,0.0060728862,-0.2856746851,4.2013790860,0.2962984987,-0.2882591255
0.3600,0.0060728862,0.0175768878,4.1916773031,0.2962984987,-0.4133294369
0.3700,0.0060728862,-0.1849266543,4.1722737374,0.2278990441,-0.5634138098
0.3800,0.0060728862,-0.3400786218,4.2013790860,0.2767557974,-0.9386247388
0.3900,0.0060728862,-0.2655250790,4.2692915658,0.3353839012,-0.3382872501
0.4000,0.0060728862,-0.3128766535,4.2595897830,0.3549266025,-1.0386809857
0.4100,0.0060728862,0.1042201944,4.2498880002,0.3060698494,-0.3132731878
0.4200,0.0060728862,-0.0811561824,4.2110808688,0.3060698494,-0.2382310007
0.4300,0.0060728862,-0.4791109044,4.2013790860,0.2572130961,-0.5383997477
0.4400,0.0060728862,-0.4075798025,4.2401862173,0.3060698494,0.5121908804
0.4500,0.0060728862,-0.6816144465,4.1916773031,0.3158412000,-0.4383434991
0.4600,0.0060728862,0.0991827928,4.2110808688,0.3060698494,-0.1631888135
0.4700,0.0060728862,0.0125394863,4.2013790860,0.3353839012,-0.8135544297
0.4800,0.0060728862,-0.2141435832,4.2110808688,0.3158412000,-0.5133856856
0.4900,0.0060728862,-0.6141132658,4.2304844345,0.3060698494,0.1119658747
0.5000,0.0060728862,-0.3995199600,4.1916773031,0.2376703947,-0.9886528623
0.5100,0.0060728862,0.0961603519,4.1916773031,0.2376703947,-0.7385122439
0.5200,0.0060728862,-0.5476195654,4.2304844345,0.2767557974,0.6622752590
0.5300,0.0060728862,0.2956414530,4.2013790860,0.2572130961,-0.9136106770
0.5400,0.0060728862,-0.6614648403,4.1916773031,0.2962984987,-0.8635825534
0.5500,0.0060728862,-0.5163876758,4.1916773031,0.3060698494,-0.8135544297
0.5600,0.0060728862,-0.4650061801,4.1722737374,0.3060698494,-1.4639200311
0.5700,0.0060728862,-0.2816447639,4.1916773031,0.3353839012,-1.2137794169
0.5800,0.0060728862,-0.5435896442,4.2304844345,0.3646979531,-0.3132731878
0.5900,0.0060728862,-0.2614951577,4.2207826517,0.3353839012,-0.1131606886
0.6000,0.0060728862,-0.1617546072,4.2304844345,0.3353839012,-0.9386247388
0.6100,0.0060728862,-0.8599384611,4.2013790860,0.2962984987,-0.2382310007
0.6200,0.0060728862,-0.5647467307,4.2304844345,0.2669844468,0.0369236867
0.6300,0.0060728862,-0.4398191724,4.1528701717,0.1790422906,-1.5639762762
0.6400,0.0060728862,-0.3783628735,4.2013790860,0.2278990441,-0.7385122439
0.6500,0.0060728862,-0.2665325593,4.1528701717,0.2474417454,-1.1137231706
0.6600,0.0060728862,-0.6000085415,4.1625719545,0.2767557974,-1.3638637857
0.6700,0.0060728862,-0.1889565755,4.1916773031,0.3353839012,-0.7635263059
0.6800,0.0060728862,-0.2876896457,4.1916773031,0.3744693037,-1.4639200311
0.6900,0.0060728862,-0.6634798009,4.1819755203,0.3744693037,-1.8391309483
0.7000,0.0060728862,-0.5979935809,4.1916773031,0.3842406543,-0.8385684915
0.7100,0.0060728862,-0.5778439747,4.2304844345,0.3158412000,-1.5139481537
0.7200,0.0060728862,0.0226142894,4.2401862173,0.2767557974,-0.8885966152
0.7300,0.0060728862,-0.2483979137,4.2207826517,0.2083563427,-1.1387372322
0.7400,0.0060728862,-0.1416050010,4.2110808688,0.2278990441,-1.3888778471
0.7500,0.0060728862,-0.3199290156,4.2110808688,0.1888136413,-0.2382310007
0.7600,0.0060728862,-0.2151510635,4.2207826517,0.2767557974,-0.6134419340
0.7700,0.0060728862,0.1586241310,4.2207826517,0.3158412000,-0.2382310007
0.7800,0.0060728862,-0.4609762589,4.2595897830,0.2572130961,-0.5383997477
0.7900,0.0060728862,-0.3249664172,4.2013790860,0.3744693037,-0.0631325636
0.8000,0.0060728862,-0.3662731098,4.1722737374,0.3353839012,-0.5884278719
0.8100,0.0060728862,-0.3703030311,4.2401862173,0.3646979531,-1.1137231706
0.8200,0.0060728862,-0.2443679925,4.2013790860,0.3060698494,-0.5383997477
0.8300,0.0060728862,-0.3964975191,4.2110808688,0.2962984987,-1.0636950474
0.8400,0.0060728862,-0.3622431886,4.1916773031,0.2278990441,-1.7390747042
0.8500,0.0060728862,-0.5264624789,4.2207826517,0.2865271481,-0.9886528623
0.8600,0.0060728862,-0.1395900404,4.1819755203,0.2767557974,0.4371486914
0.8700,0.0060728862,-0.2524278349,4.2595897830,0.3256125506,-0.9636388005
0.8800,0.0060728862,-0.2917195670,4.1916773031,0.3451552519,-0.6634700580
0.8900,0.0060728862,0.0568686199,4.2013790860,0.3353839012,-0.2882591255
0.9000,0.0060728862,-0.3249664172,4.2207826517,0.3256125506,0.5121908804
0.9100,0.0060728862,-0.3723179917,4.2207826517,0.2962984987,0.1369799374
0.9200,0.0060728862,-0.1536947647,4.2110808688,0.2572130961,0.6122471327
0.9300,0.0060728862,0.0125394863,4.2013790860,0.2278990441,-1.0136669240
