Time,Encoder,Drag,Pitch,Roll,Heave
Seconds,Meters,Newtons,Degrees,Degrees,mm
0.0000,0.0000000000,-0.5405672033,4.2110808688,0.2865271481,-0.1631888135
0.0100,0.0000000000,-0.3682880705,4.1528701717,0.2669844468,-0.5133856856
0.0200,0.0000000000,-0.3058242913,4.1625719545,0.2669844468,-1.7640887653
0.0300,0.0000000000,0.1364595643,4.2401862173,0.3451552519,1.0875143359
0.0400,0.0000000000,-0.3189215353,4.2304844345,0.3646979531,-0.6634700580
0.0500,0.0000000000,0.0810481473,4.2207826517,0.3646979531,-0.1631888135
0.0600,0.0000000000,-0.3844077554,4.2401862173,0.3549266025,-0.2882591255
0.0700,0.0000000000,-0.5909412187,4.2304844345,0.3158412000,-0.9386247388
0.0800,0.0000000000,-0.4357892511,4.2013790860,0.2962984987,-0.2132169384
0.0900,0.0000000000,-0.3854152357,4.2692915658,0.2767557974,-0.9636388005
0.1000,0.0000000000,0.2009383040,4.1431683888,0.2181276934,-0.4383434991
0.1100,0.0000000000,-0.0741038203,4.2207826517,0.3060698494,-1.5639762762
0.1200,0.0000000000,-0.0972758674,4.2110808688,0.2865271481,-1.2888216014
0.1300,0.0000000000,-0.0408569701,4.2304844345,0.3256125506,-1.1387372322
0.1400,0.0000000000,-0.4781034241,4.1819755203,0.3451552519,-1.4138919085
0.1500,0.0000000000,0.0075020847,4.1722737374,0.3353839012,-0.7385122439
0.1600,0.0000000000,-0.4025424010,4.1528701717,0.3353839012,-0.2632450631
0.1700,0.0000000000,0.2432524770,4.2013790860,0.3353839012,-0.4133294369
0.1800,0.0000000000,0.0216068090,4.2110808688,0.2572130961,-0.1381747511
0.1900,0.0000000000,-0.3088467322,4.1625719545,0.2376703947,-0.4133294369
0.2000,0.0000000000,-0.0791412218,4.1528701717,0.1888136413,-0.7885403678
0.2100,0.0000000000,-0.3279888581,4.1528701717,0.2181276934,-1.3388497243
0.2200,0.0000000000,-0.4942231090,4.1722737374,0.2865271481,-0.5884278719
0.2300,0.0000000000,-0.3320187793,4.1916773031,0.3744693037,0.1619940001
0.2400,0.0000000000,-0.1002983083,4.1819755203,0.4037833555,-0.2632450631
0.2500,0.0000000000,-0.3017943701,4.1916773031,0.4135547061,-0.0381185010
0.2600,0.0000000000,-0.2635101183,4.1819755203,0.3353839012,-0.4633575613
0.2700,0.0000000000,-0.5506420063,4.2401862173,0.2962984987,-0.2382310007
0.2800,0.0000000000,0.0437713758,4.1528701717,0.1985849920,-1.1387372322
0.2900,0.0000000000,-0.1718294102,4.1528701717,0.1301855370,-0.1381747511
0.3000,0.0000000000,-0.4176546056,4.2207826517,0.2376703947,-1.3388497243
0.3100,0.0000000000,-0.2947420079,4.2013790860,0.2572130961,-1.0386809857
0.3200,0.0000000000,-0.3743329523,4.1334666059,0.3353839012,-0.9136106770
0.3300,0.0000000000,-0.3461235037,4.1722737374,0.3549266025,-1.2638075399
0.3400,0.0000000000,-0.1607471268,4.1722737374,0.3744693037,-0.3382872501
0.3500,0.0000000000,-0.1808967330,4.2110808688,0.3744693037,0.1369799374
0.3600,0.0000000000,-0.0066026396,4.1916773031,0.3256125506,0.6872893222
0.3700,0.0000000000,-0.4932156287,4.2207826517,0.2767557974,-0.2632450631
0.3800,0.0000000000,-0.5707916125,4.1819755203,0.2278990441,-0.2882591255
0.3900,0.0000000000,0.3893371218,4.1819755203,0.1985849920,-1.0136669240
0.4000,0.0000000000,-0.0660439778,4.2304844345,0.2669844468,-1.1637512938
0.4100,0.0000000000,-0.3844077554,4.1625719545,0.2474417454,-0.2632450631
0.4200,0.0000000000,-0.6584423994,4.1625719545,0.3549266025,0.5121908804
0.4300,0.0000000000,-0.0610065763,4.2013790860,0.4037833555,-0.7385122439
0.4400,0.0000000000,-0.0237298048,4.2013790860,0.3842406543,-1.0386809857
0.4500,0.0000000000,-0.0751113006,4.1625719545,0.3646979531,-0.4633575613
0.4600,0.0000000000,-0.2060837407,4.1722737374,0.2572130961,0.2620502512
0.4700,0.0000000000,-0.4760884635,4.1819755203,0.2474417454,-0.3883153746
0.4800,0.0000000000,-0.2685475199,4.1819755203,0.1790422906,-0.4133294369
0.4900,0.0000000000,-0.2473904334,4.2110808688,0.2083563427,-0.7635263059
0.5000,0.0000000000,-0.0086176002,4.1140630401,0.2376703947,-0.9886528623
0.5100,0.0000000000,-0.2262333469,4.2110808688,0.3744693037,-0.4383434991
0.5200,0.0000000000,-0.0207073639,4.1722737374,0.4135547061,-1.1637512938
0.5300,0.0000000000,-0.0408569701,4.2110808688,0.4135547061,0.5121908804
0.5400,0.0000000000,-0.3390711415,4.1625719545,0.4037833555,-0.1131606886
0.5500,0.0000000000,-0.4569463376,4.1722737374,0.2767557974,-1.0136669240
0.5600,0.0000000000,-0.1536947647,4.1625719545,0.1985849920,-0.6134419340
0.5700,0.0000000000,-0.3169065747,4.1431683888,0.1301855370,0.0869518120
0.5800,0.0000000000,-0.3098542125,4.2110808688,0.2083563427,-0.9886528623
0.5900,0.0000000000,-0.3310112990,4.2304844345,0.2669844468,-0.3382872501
0.6000,0.0000000000,-0.2604876774,4.2110808688,0.3256125506,-1.5139481537
0.6100,0.0000000000,0.0568686199,4.1819755203,0.4037833555,0.3370924397
0.6200,0.0000000000,-0.2866821654,4.2110808688,0.3549266025,-0.6134419340
0.6300,0.0000000000,-0.3834002751,4.2110808688,0.4428687578,0.0619377494
0.6400,0.0000000000,-0.3028018504,4.1625719545,0.3744693037,-1.6140043986
0.6500,0.0000000000,-0.2524278349,4.1722737374,0.3060698494,-0.0381185010
0.6600,0.0000000000,0.1314221627,4.1819755203,0.1594995892,-1.1137231706
0.6700,0.0000000000,-0.2907120867,4.1625719545,0.1301855370,-0.7385122439
0.6800,0.0000000000,-0.1557097253,4.1819755203,0.1399568877,-0.2632450631
0.6900,0.0000000000,-0.4307518496,4.1528701717,0.2278990441,-0.3132731878
0.7000,0.0000000000,-0.0992908280,4.2692915658,0.3549266025,-0.5884278719
0.7100,0.0000000000,0.0457863365,4.2304844345,0.4135547061,-0.1131606886
0.7200,0.0000000000,-0.3985124797,4.2110808688,0.4721828095,0.6372611958
0.7300,0.0000000000,-0.2463829531,4.2110808688,0.4428687578,-0.4633575613
0.7400,0.0000000000,-0.3340337400,4.1916773031,0.3940120049,-0.6134419340
0.7500,0.0000000000,0.0336965728,4.2013790860,0.2962984987,-1.4389059698
0.7600,0.0000000000,-0.2977644488,4.2207826517,0.2278990441,-0.1381747511
0.7700,0.0000000000,-0.1184329539,4.2013790860,0.1301855370,-1.0636950474
0.7800,0.0000000000,-0.5959786202,4.1819755203,0.1790422906,-0.9886528623
0.7900,0.0000000000,-0.1123880720,4.1334666059,0.2572130961,-0.4633575613
0.8000,0.0000000000,-0.0549616944,4.1819755203,0.3940120049,-1.5139481537
0.8100,0.0000000000,-0.4609762589,4.1722737374,0.4135547061,-0.1381747511
0.8200,0.0000000000,-0.1577246859,4.2207826517,0.4624114589,-0.0881466261
0.8300,0.0000000000,-0.3582132674,4.1625719545,0.4037833555,-0.2382310007
0.8400,0.0000000000,-0.7803475167,4.2207826517,0.4037833555,-0.8635825534
0.8500,0.0000000000,-0.4579538179,4.2207826517,0.2865271481,-1.1137231706
0.8600,0.0000000000,0.2271327920,4.1625719545,0.1692709399,-1.1137231706
0.8700,0.0000000000,-0.1718294102,4.1916773031,0.2278990441,-0.4133294369
0.8800,0.0000000000,-0.3239589369,4.2110808688,0.2083563427,-1.6890465820
0.8900,0.0000000000,-0.4418341330,4.2304844345,0.2767557974,-0.4883716234
0.9000,0.0000000000,-0.4085872828,4.1528701717,0.2767557974,-0.1381747511
0.9100,0.0000000000,-0.2524278349,4.2401862173,0.4233260567,-1.5889903374
0.9200,0.0000000000,-0.3672805901,4.1722737374,0.3940120049,-0.5133856856
0.9300,0.0000000000,-0.2846672048,4.2013790860,0.3549266025,-0.1131606886
0.9400,0.0000000000,-0.0670514581,4.2110808688,0.3060698494,0.7123033854
0.9500,0.0000000000,-0.2282483075,4.1819755203,0.2083563427,-0.9636388005
0.9600,0.0000000000,-0.1093656311,4.1819755203,0.2278990441,-0.6134419340
0.9700,0.0000000000,-0.3108616929,4.2110808688,0.2376703947,-0.0881466261
0.9800,0.0000000000,-0.5244475183,4.2013790860,0.2962984987,-1.6140043986
0.9900,0.0000000000,-0.5637392504,4.2013790860,0.3451552519,1.1125283994
1.0000,0.0000000000,0.4004194052,4.1722737374,0.4330974072,-0.0631325636
1.0100,0.0000000000,-0.3874301963,4.2207826517,0.4330974072,0.3871205655
1.0200,0.0000000000,-0.1154105129,4.2401862173,0.3940120049,-0.6634700580
1.0300,0.0000000000,-0.4277294087,4.2304844345,0.2572130961,-0.1631888135
1.0400,0.0000000000,-0.1023132689,4.2013790860,0.2572130961,-0.0881466261
1.0500,0.0000000000,-0.1708219299,4.1916773031,0.1985849920,0.7123033854
1.0600,0.0000000000,0.2795217681,4.2207826517,0.1985849920,-1.0636950474
1.0700,0.0000000000,-0.2786223230,4.1528701717,0.1985849920,-0.9636388005
1.0800,0.0000000000,-0.0751113006,4.1819755203,0.2865271481,-1.5639762762
1.0900,0.0000000000,-0.5053053924,4.1916773031,0.3451552519,-0.5383997477
1.1000,0.0000000000,-0.1587321662,4.1916773031,0.3744693037,-0.1381747511
