Time,Encoder,Drag,Pitch,Roll,Heave
Seconds,Meters,Newtons,Degrees,Degrees,mm
0.0000,-0.0005520806,-0.2876896457,4.1916773031,0.2376703947,0.0619377494
0.0100,-0.0005520806,-0.2927270473,4.2207826517,0.3060698494,0.6372611958
0.0200,-0.0005520806,-0.0589916157,4.2304844345,0.3060698494,-0.4133294369
0.0300,-0.0005520806,-0.3249664172,4.2401862173,0.3353839012,-1.0636950474
0.0400,-0.0005520806,-0.1295152373,4.1722737374,0.3158412000,-0.0631325636
0.0500,-0.0005520806,0.2704544453,4.1916773031,0.3158412000,1.1625565266
0.0600,-0.0005520806,-0.1688069693,4.1819755203,0.3060698494,-0.6134419340
0.0700,-0.0005520806,-0.3521683855,4.2304844345,0.3060698494,0.7373174486
0.0800,-0.0005520806,-0.5949711399,4.1722737374,0.2572130961,-0.7635263059
0.0900,-0.0005520806,-0.3350412203,4.2013790860,0.2474417454,-0.3883153746
0.1000,-0.0005520806,0.1525792492,4.2304844345,0.2962984987,-0.1381747511
0.1100,-0.0005520806,-0.0700738991,4.1819755203,0.2962984987,1.2375987175
0.1200,-0.0005520806,-0.0368270489,4.2692915658,0.3549266025,0.3621065026
0.1300,-0.0005520806,-0.8357589337,4.2401862173,0.3940120049,-1.2137794169
0.1400,-0.0005520806,-0.7309809816,4.1916773031,0.3158412000,0.2620502512
0.1500,-0.0005520806,0.0306741318,4.2498880002,0.3744693037,-0.8135544297
0.1600,-0.0005520806,-0.0519392535,4.1722737374,0.2376703947,0.1619940001
0.1700,-0.0005520806,-0.5022829515,4.2595897830,0.2865271481,-0.9386247388
0.1800,-0.0005520806,-0.3733254720,4.2207826517,0.2474417454,-0.8135544297
0.1900,-0.0005520806,-0.6201581476,4.1819755203,0.2181276934,0.3871205655
0.2000,-0.0005520806,-0.2181735044,4.2498880002,0.3256125506,-0.2132169384
0.2100,-0.0005520806,-0.6977341314,4.2110808688,0.3060698494,-0.0881466261
0.2200,-0.0005520806,-0.1476498828,4.1819755203,0.3646979531,-0.4383434991
0.2300,-0.0005520806,-0.1123880720,4.2207826517,0.3744693037,-1.0136669240
0.2400,-0.0005520806,-0.9133349175,4.2207826517,0.4037833555,-0.2882591255
0.2500,-0.0005520806,-0.0166774427,4.2401862173,0.3940120049,-0.4633575613
0.2600,-0.0005520806,-0.0207073639,4.2110808688,0.3549266025,-0.7885403678
0.2700,-0.0005520806,-0.5526569670,4.2401862173,0.3060698494,-0.1381747511
0.2800,-0.0005520806,-0.7894148395,4.1431683888,0.2083563427,-0.0631325636
0.2900,-0.0005520806,-0.0539542141,4.1916773031,0.1790422906,-0.4633575613
0.3000,-0.0005520806,-0.3078392519,4.2207826517,0.2181276934,0.7623315118
0.3100,-0.0005520806,-0.1990313786,4.1625719545,0.1888136413,-0.2132169384
0.3200,-0.0005520806,-0.5073203531,4.2207826517,0.3451552519,0.0619377494
0.3300,-0.0005520806,-0.2866821654,4.2013790860,0.3256125506,-0.6134419340
0.3400,-0.0005520806,-0.4106022434,4.2207826517,0.4037833555,0.1619940001
0.3500,-0.0005520806,-0.2745924017,4.2498880002,0.3940120049,-0.4133294369
0.3600,-0.0005520806,-0.1708219299,4.2207826517,0.3353839012,-0.0131044385
0.3700,-0.0005520806,0.1273922415,4.2401862173,0.3158412000,1.1125283994
0.3800,-0.0005520806,-0.5063128728,4.2401862173,0.2767557974,-1.0386809857
0.3900,-0.0005520806,-0.4418341330,4.1625719545,0.1888136413,1.6628378029
0.4000,-0.0005520806,-0.5335148411,4.2304844345,0.2767557974,-0.6384559960
0.4100,-0.0005520806,0.0911229504,4.1916773031,0.2376703947,-1.0386809857
0.4200,-0.0005520806,0.1495568083,4.2013790860,0.2865271481,-0.8385684915
0.4300,-0.0005520806,-0.1204479145,4.1916773031,0.3060698494,0.3370924397
0.4400,-0.0005520806,-0.5042979121,4.2304844345,0.3353839012,0.3120783769
0.4500,-0.0005520806,-0.8186317685,4.2110808688,0.3549266025,0.2870643140
0.4600,-0.0005520806,-0.4821333453,4.1528701717,0.2962984987,0.3120783769
0.4700,-0.0005520806,-0.2947420079,4.2207826517,0.3353839012,-1.4389059698
0.4800,-0.0005520806,0.0014572029,4.1819755203,0.2083563427,-0.2632450631
0.4900,-0.0005520806,0.0407489349,4.2401862173,0.2865271481,0.0869518120
0.5000,-0.0005520806,-0.3783628735,4.2595897830,0.2572130961,-0.4133294369
0.5100,-0.0005520806,-0.8619534218,4.1334666059,0.2669844468,-0.1381747511
0.5200,-0.0005520806,-0.4680286210,4.2013790860,0.3060698494,-0.6884841200
0.5300,-0.0005520806,-0.0952609068,4.1528701717,0.3353839012,1.2125846538
0.5400,-0.0005520806,-0.1708219299,4.2207826517,0.4135547061,-0.4383434991
0.5500,-0.0005520806,-0.0408569701,4.1819755203,0.3158412000,0.5622190065
0.5600,-0.0005520806,-0.3209364959,4.1916773031,0.2474417454,-0.2132169384
0.5700,-0.0005520806,-0.2342931894,4.1819755203,0.2767557974,-0.4633575613
0.5800,-0.0005520806,-0.3944825585,4.2110808688,0.2669844468,0.3120783769
0.5900,-0.0005520806,-0.1698144496,4.1916773031,0.2376703947,-0.6634700580
0.6000,-0.0005520806,-0.1013057886,4.2401862173,0.2181276934,0.2870643140
0.6100,-0.0005520806,-0.2373156303,4.1916773031,0.2767557974,0.1619940001
0.6200,-0.0005520806,-0.3874301963,4.1722737374,0.2767557974,0.0119096241
0.6300,-0.0005520806,-0.4025424010,4.2401862173,0.4135547061,0.3120783769
0.6400,-0.0005520806,-0.2957494882,4.2110808688,0.4233260567,0.0869518120
0.6500,-0.0005520806,-0.0307821670,4.2110808688,0.4330974072,0.1619940001
0.6600,-0.0005520806,-0.4670211407,4.2207826517,0.3646979531,0.1870080628
0.6700,-0.0005520806,-0.3320187793,4.1722737374,0.2474417454,0.0869518120
0.6800,-0.0005520806,-0.2725774411,4.2304844345,0.2083563427,0.1369799374
0.6900,-0.0005520806,-0.0892160249,4.1528701717,0.1497282385,0.5622190065
0.7000,-0.0005520806,-0.3713105114,4.1819755203,0.1497282385,-0.7635263059
0.7100,-0.0005520806,-0.2927270473,4.2110808688,0.2181276934,0.2120221256
0.7200,-0.0005520806,-0.2625026380,4.2498880002,0.2962984987,0.2870643140
0.7300,-0.0005520806,-0.1023132689,4.2692915658,0.4037833555,-0.5383997477
0.7400,-0.0005520806,-0.2181735044,4.2304844345,0.4428687578,0.1119658747
