Time,Encoder,Drag,Pitch,Roll,Heave
Seconds,Meters,Newtons,Degrees,Degrees,mm
0.0000,0.0005520806,0.0363609591,3.7550970693,0.5014968611,-1.6865596306
0.0100,0.0005520806,-0.0351701428,3.7939042016,0.4917255106,-1.7866158928
0.0200,0.0005520806,0.1612885174,3.7842024186,0.4721828095,-1.8616580892
0.0300,0.0005520806,0.1250192263,3.7939042016,0.4330974072,0.5396922930
0.0400,0.0005520806,-0.0946114810,3.7259917200,0.4526401084,-0.9611517193
0.0500,0.0005520806,-0.2155091180,3.7162899369,0.3646979531,-0.8861095205
0.0600,0.0005520806,0.1612885174,3.7162899369,0.3744693037,-0.5359125904
0.0700,0.0005520806,0.3053582016,3.7356935031,0.4526401084,-0.8360813879
0.0800,0.0005520806,-0.5620823443,3.7745006355,0.4721828095,-0.4608703905
0.0900,0.0005520806,0.3990538703,3.7453952862,0.5014968611,-0.3107859902
0.1000,0.0005520806,-0.3505114794,3.7842024186,0.4917255106,-0.7860532552
0.1100,0.0005520806,-0.3001374640,3.7356935031,0.4233260567,-0.0606453212
0.1200,0.0005520806,0.0484507229,3.7647988524,0.4330974072,-0.2607578566
0.1300,0.0005520806,-0.1701725042,3.7647988524,0.4135547061,-0.5609266569
0.1400,0.0005520806,0.1663259190,3.7647988524,0.4135547061,-1.2613205124
0.1500,0.0005520806,-0.2074492756,3.7745006355,0.4428687578,-0.3107859902
0.1600,0.0005520806,-0.0664020323,3.6871845876,0.4624114589,-0.9361376530
0.1700,0.0005520806,0.0091589908,3.7453952862,0.5210395622,-0.7860532552
0.1800,0.0005520806,0.0343459985,3.7453952862,0.5112682117,-0.9611517193
0.1900,0.0005520806,-0.2658831335,3.7745006355,0.4624114589,-0.6609829230
0.2000,0.0005520806,0.1814381236,3.7745006355,0.4624114589,-0.8610954542
0.2100,0.0005520806,0.1874830055,3.6968863707,0.3842406543,-0.6109547900
0.2200,0.0005520806,0.0827050534,3.8133077678,0.4135547061,-1.1862783144
0.2300,0.0005520806,0.2721113514,3.7745006355,0.3842406543,-0.7110110560
0.2400,0.0005520806,-0.2275988818,3.7550970693,0.3744693037,-0.5108985238
0.2500,0.0005520806,0.1230042657,3.7939042016,0.4624114589,-0.6109547900
0.2600,0.0005520806,0.1552436356,3.7647988524,0.4721828095,-0.6609829230
0.2700,0.0005520806,0.4383456024,3.7745006355,0.5014968611,-0.6109547900
0.2800,0.0005520806,0.0141963924,3.7842024186,0.4917255106,-0.8360813879
0.2900,0.0005520806,0.5683105622,3.7745006355,0.5405822632,-0.4608703905
0.3000,0.0005520806,0.1834530842,3.7453952862,0.4819541600,-0.2857719234
0.3100,0.0005520806,-0.2558083304,3.7745006355,0.4624114589,-1.1362501823
0.3200,0.0005520806,0.0091589908,3.7550970693,0.4330974072,-1.4114049078
0.3300,0.0005520806,-0.1459929767,3.7550970693,0.4233260567,-1.4114049078
0.3400,0.0005520806,0.2700963908,3.7842024186,0.4526401084,-1.6615455650
0.3500,0.0005520806,-0.0402075443,3.7647988524,0.3451552519,-0.4108422571
0.3600,0.0005520806,0.2136774935,3.7259917200,0.3646979531,-0.4608703905
0.3700,0.0005520806,0.1109145020,3.7842024186,0.4428687578,-0.3107859902
0.3800,0.0005520806,-0.7696232879,3.7745006355,0.5112682117,-0.5359125904
0.3900,0.0005520806,0.3265152881,3.8036059847,0.5503536137,-0.8610954542
0.4000,0.0005520806,0.0010991483,3.7647988524,0.5014968611,-0.5108985238
0.4100,0.0005520806,0.0434133213,3.7550970693,0.4819541600,-0.4608703905
0.4200,0.0005520806,-0.0664020323,3.7939042016,0.5308109127,-1.3863908419
0.4300,0.0005520806,-0.1248358903,3.7453952862,0.5112682117,-1.2363064464
0.4400,0.0005520806,-0.1218134493,3.7842024186,0.4135547061,-1.2863345783
0.4500,0.0005520806,0.3728593823,3.7356935031,0.4135547061,-0.0606453212
0.4600,0.0005520806,0.3658070201,3.7842024186,0.3842406543,-0.1607015891
0.4700,0.0005520806,0.0373684395,3.7550970693,0.4037833555,-0.5859407235
0.4800,0.0005520806,-0.2417036061,3.7550970693,0.3451552519,-0.3608141237
0.4900,0.0005520806,-0.3716685659,3.7842024186,0.4233260567,-0.6359688566
