Time,Encoder,Drag,Pitch,Roll,Heave
Seconds,Meters,Newtons,Degrees,Degrees,mm
0.0000,0.0071770474,-0.0428719307,4.2304844345,0.3940120049,-1.1637512938
0.0100,0.0071770474,-0.2715699608,4.1916773031,0.3353839012,0.0369236867
0.0200,0.0071770474,-0.2997794095,4.2013790860,0.3842406543,-1.4889340924
0.0300,0.0071770474,-0.5667616913,4.2207826517,0.3256125506,0.1369799374
0.0400,0.0071770474,-0.2020538195,4.2013790860,0.2767557974,-1.6140043986
0.0500,0.0071770474,-0.2997794095,4.1916773031,0.1790422906,-0.5634138098
0.0600,0.0071770474,-0.2070912210,4.2207826517,0.2181276934,-1.0887091090
0.0700,0.0071770474,-0.4156396450,4.2595897830,0.3158412000,-1.3138356629
0.0800,0.0071770474,-0.1829116936,4.2304844345,0.2865271481,0.0369236867
0.0900,0.0071770474,-0.4267219284,4.1722737374,0.2767557974,-0.6384559960
0.1000,0.0071770474,-0.6110908249,4.1916773031,0.3353839012,-0.6884841200
0.1100,0.0071770474,-0.4650061801,4.1819755203,0.3549266025,-1.3888778471
0.1200,0.0071770474,0.3238509017,4.2207826517,0.3451552519,-1.1637512938
0.1300,0.0071770474,-0.4478790148,4.1916773031,0.3060698494,-1.7640887653
0.1400,0.0071770474,-0.4045573616,4.2207826517,0.2669844468,-0.8885966152
0.1500,0.0071770474,-0.1083581508,4.2207826517,0.2376703947,-1.6390184598
0.1600,0.0071770474,-0.3561983067,4.2013790860,0.2474417454,-0.4133294369
0.1700,0.0071770474,-0.0982833477,4.2110808688,0.2767557974,-0.4383434991
0.1800,0.0071770474,-0.2947420079,4.2401862173,0.2865271481,0.2870643140
0.1900,0.0071770474,0.0598910608,4.2013790860,0.2865271481,-0.1631888135
0.2000,0.0071770474,-0.4891857075,4.2110808688,0.3549266025,-0.4383434991
0.2100,0.0071770474,-0.3884376766,4.1722737374,0.2865271481,-0.4633575613
0.2200,0.0071770474,-0.0912309855,4.2304844345,0.2962984987,-0.8635825534
0.2300,0.0071770474,-0.2997794095,4.1625719545,0.2572130961,-0.2882591255
0.2400,0.0071770474,-0.0841786234,4.2304844345,0.2572130961,-1.4389059698
0.2500,0.0071770474,0.1676914538,4.2013790860,0.3060698494,-0.6384559960
0.2600,0.0071770474,-0.3209364959,4.2110808688,0.2278990441,-0.1131606886
0.2700,0.0071770474,-0.2715699608,4.2110808688,0.2865271481,-1.7640887653
0.2800,0.0071770474,0.0347040531,4.2498880002,0.3158412000,0.1369799374
0.2900,0.0071770474,0.3006788546,4.2498880002,0.3451552519,-0.7385122439
0.3000,0.0071770474,-0.0620140566,4.1916773031,0.2962984987,-0.9636388005
0.3100,0.0071770474,-0.4801183847,4.2110808688,0.2865271481,-0.5884278719
0.3200,0.0071770474,-0.8589309808,4.1819755203,0.2474417454,0.9874580819
0.3300,0.0071770474,-0.3995199600,4.2013790860,0.2474417454,-1.0386809857
0.3400,0.0071770474,-0.0207073639,4.1916773031,0.2669844468,-0.5133856856
0.3500,0.0071770474,-0.3622431886,4.1916773031,0.2376703947,-2.0392434355
0.3600,0.0071770474,-0.2413455515,4.1916773031,0.2572130961,-0.2632450631
0.3700,0.0071770474,-0.5022829515,4.2304844345,0.3256125506,-0.2132169384
0.3800,0.0071770474,-0.2735849214,4.2304844345,0.3549266025,-0.8885966152
0.3900,0.0071770474,-0.5687766519,4.1819755203,0.3353839012,-0.6384559960
0.4000,0.0071770474,-0.4126172040,4.2207826517,0.3353839012,-0.6634700580
0.4100,0.0071770474,-0.2131361029,4.2013790860,0.3549266025,-0.7134981820
0.4200,0.0071770474,-0.0196998836,4.2013790860,0.2572130961,-0.1381747511
0.4300,0.0071770474,-0.5244475183,4.1528701717,0.2181276934,-0.6884841200
0.4400,0.0071770474,0.0145544469,4.1722737374,0.1985849920,-0.0631325636
0.4500,0.0071770474,-0.6060534233,4.1916773031,0.2181276934,-1.2387934784
0.4600,0.0071770474,-0.0761187809,4.1819755203,0.2278990441,-0.9136106770
0.4700,0.0071770474,-0.2101136620,4.2401862173,0.3158412000,-0.2632450631
0.4800,0.0071770474,-0.4277294087,4.2110808688,0.3549266025,-0.7134981820
0.4900,0.0071770474,-0.3038093307,4.2013790860,0.3158412000,-1.2137794169
0.5000,0.0071770474,-0.6272105098,4.2304844345,0.3744693037,-0.9136106770
0.5100,0.0071770474,0.0296666515,4.2110808688,0.3353839012,-0.3132731878
0.5200,0.0071770474,-0.3703030311,4.2498880002,0.3256125506,-1.5389622149
0.5300,0.0071770474,-0.2987719291,4.1916773031,0.2278990441,-0.6634700580
0.5400,0.0071770474,-0.1426124813,4.1722737374,0.2083563427,-0.9136106770
0.5500,0.0071770474,-0.8377738943,4.2013790860,0.2376703947,0.3370924397
0.5600,0.0071770474,-0.4710510619,4.2304844345,0.2572130961,0.0369236867
0.5700,0.0071770474,-0.3652656295,4.1916773031,0.2962984987,-1.8141168873
0.5800,0.0071770474,-0.4569463376,4.2110808688,0.3060698494,-0.3382872501
0.5900,0.0071770474,-0.3420935824,4.2110808688,0.3451552519,-1.3388497243
0.6000,0.0071770474,-0.3451160233,4.2110808688,0.3256125506,-0.1381747511
