Time,Encoder,Drag,Pitch,Roll,Heave
Seconds,Meters,Newtons,Degrees,Degrees,mm
0.0000,-0.0019322820,0.1703558402,3.7453952862,0.4037833555,-0.8610954542
0.0100,-0.0019322820,-0.2165165984,3.7647988524,0.4037833555,-0.9861657855
0.0200,-0.0019322820,-0.0704319536,3.8036059847,0.5503536137,-0.4858844571
0.0300,-0.0019322820,-0.0895740795,3.7647988524,0.5503536137,-1.4114049078
0.0400,-0.0019322820,0.0212487545,3.7745006355,0.5112682117,0.6897766985
0.0500,-0.0019322820,0.1562511159,3.8230095508,0.5210395622,-0.0856593882
0.0600,-0.0019322820,0.6227144989,3.7647988524,0.4917255106,-0.7610391888
0.0700,-0.0019322820,-0.2124866771,3.7550970693,0.4526401084,-1.2613205124
0.0800,-0.0019322820,-0.0240878594,3.7647988524,0.4135547061,-0.0106171872
0.0900,-0.0019322820,0.3144255244,3.7745006355,0.3549266025,0.2145094171
0.1000,-0.0019322820,0.1975578086,3.7453952862,0.4233260567,0.6397485633
0.1100,-0.0019322820,0.4474129251,3.8036059847,0.4330974072,-0.4608703905
0.1200,-0.0019322820,-0.1792398269,3.7939042016,0.5112682117,-0.5108985238
0.1300,-0.0019322820,-0.6567854933,3.8327113339,0.5014968611,0.8648751726
0.1400,-0.0019322820,0.3204704062,3.7745006355,0.4819541600,-0.2857719234
0.1500,-0.0019322820,0.5612582000,3.7647988524,0.4917255106,-0.0856593882
0.1600,-0.0019322820,0.1562511159,3.7745006355,0.4526401084,-0.8861095205
0.1700,-0.0019322820,0.0524806441,3.7745006355,0.4624114589,0.3896078883
0.1800,-0.0019322820,-0.0885665991,3.7745006355,0.4135547061,-1.2112923804
0.1900,-0.0019322820,0.1703558402,3.7162899369,0.4624114589,-0.4608703905
0.2000,-0.0019322820,0.1965503282,3.7550970693,0.4624114589,-1.5865033681
0.2100,-0.0019322820,0.0575180456,3.8036059847,0.4917255106,-0.6109547900
0.2200,-0.0019322820,-0.3424516370,3.7550970693,0.4917255106,0.0143968799
0.2300,-0.0019322820,0.1139369429,3.7550970693,0.4330974072,-0.5859407235
0.2400,-0.0019322820,-0.5963366748,3.7550970693,0.3940120049,-0.7860532552
0.2500,-0.0019322820,0.3839416657,3.8133077678,0.4526401084,-0.4608703905
0.2600,-0.0019322820,0.3627845792,3.7745006355,0.3744693037,-1.2613205124
0.2700,-0.0019322820,0.2449093831,3.7550970693,0.4526401084,-1.4364189736
0.2800,-0.0019322820,0.1149444232,3.7842024186,0.5014968611,0.1894953498
0.2900,-0.0019322820,0.3013282804,3.7842024186,0.5405822632,-0.0356312542
0.3000,-0.0019322820,0.1038621398,3.6968863707,0.4330974072,-0.3608141237
0.3100,-0.0019322820,0.2721113514,3.7842024186,0.4624114589,-0.6859969895
0.3200,-0.0019322820,-0.4996185651,3.7939042016,0.5112682117,-0.5859407235
