Time,Encoder,Drag,Pitch,Roll,Heave
Seconds,Meters,Newtons,Degrees,Degrees,mm
0.0000,0.0000000000,-0.0599990960,4.6379593090,0.3549266025,-0.2178676749
0.0100,0.0000000000,-0.3652656295,4.6573628742,0.3353839012,1.2579616575
0.0200,0.0000000000,-0.5647467307,4.6379593090,0.2376703947,-0.0177552276
0.0300,0.0000000000,-0.5204175971,4.5894503958,0.1399568877,-0.2428817307
0.0400,0.0000000000,-0.1597396465,4.6379593090,0.1594995892,-1.4685704390
0.0500,0.0000000000,0.0054871241,4.6476610916,0.2083563427,-0.8182050086
0.0600,0.0000000000,-0.0942534265,4.6185557437,0.2767557974,-0.6681206763
0.0700,0.0000000000,-0.3531758658,4.6379593090,0.3353839012,-0.7181487872
0.0800,0.0000000000,-0.2584727168,4.6282575263,0.3646979531,0.9828070304
0.0900,0.0000000000,-0.4357892511,4.6185557437,0.3744693037,-1.7437250398
0.1000,0.0000000000,-0.4821333453,4.5797486132,0.3549266025,-0.0927973955
0.1100,0.0000000000,-0.0599990960,4.6088539611,0.2865271481,-0.2929098423
0.1200,0.0000000000,-0.1174254736,4.6573628742,0.2767557974,-0.6431066209
0.1300,0.0000000000,-0.3521683855,4.6185557437,0.1790422906,-0.6681206763
0.1400,0.0000000000,0.1556016901,4.5991521785,0.1594995892,-0.0677833395
0.1500,0.0000000000,-0.1244778357,4.5797486132,0.1594995892,-0.7431628426
0.1600,0.0000000000,-0.1557097253,4.6282575263,0.2083563427,-0.8682331191
0.1700,0.0000000000,-0.2463829531,4.5603450479,0.2376703947,0.1823572212
0.1800,0.0000000000,-0.4962380697,4.6670646568,0.3353839012,0.3574556150
0.1900,0.0000000000,-0.1768668118,4.6379593090,0.3646979531,-0.0927973955
0.2000,0.0000000000,-0.0650364975,4.5700468305,0.3353839012,-0.2678957865
0.2100,0.0000000000,0.1163099581,4.6864682220,0.3549266025,-0.5930785099
0.2200,0.0000000000,-0.5123577546,4.5894503958,0.2962984987,0.3324415587
0.2300,0.0000000000,-0.3169065747,4.6476610916,0.3060698494,-0.0427692836
0.2400,0.0000000000,-0.5687766519,4.5506432652,0.2083563427,-0.3179238981
0.2500,0.0000000000,-0.1103731114,4.6282575263,0.2474417454,-1.1934158357
0.2600,0.0000000000,-0.2725774411,4.5991521785,0.2181276934,-0.1178114514
0.2700,0.0000000000,0.0478012971,4.5700468305,0.2181276934,-0.5680644544
0.2800,0.0000000000,-0.1677994890,4.5991521785,0.2767557974,-0.2929098423
0.2900,0.0000000000,-0.2735849214,4.6379593090,0.2865271481,0.0072588285
0.3000,0.0000000000,-0.4962380697,4.5894503958,0.2474417454,0.8077086327
0.3100,0.0000000000,-0.1839191739,4.5700468305,0.2376703947,-0.9182612296
0.3200,0.0000000000,-0.2111211423,4.5894503958,0.2669844468,-0.2678957865
0.3300,0.0000000000,0.0901154700,4.6088539611,0.3353839012,-1.4185423295
0.3400,0.0000000000,-0.3582132674,4.5797486132,0.3060698494,0.4575118406
0.3500,0.0000000000,-0.7692652333,4.6379593090,0.3549266025,-0.9182612296
0.3600,0.0000000000,-0.1839191739,4.6185557437,0.3158412000,-0.3429379538
0.3700,0.0000000000,-0.2977644488,4.6379593090,0.2865271481,-0.8182050086
0.3800,0.0000000000,0.2170579890,4.5894503958,0.2278990441,0.5575680665
0.3900,0.0000000000,-0.1345526388,4.6573628742,0.2083563427,-0.2678957865
0.4000,0.0000000000,-0.5284774395,4.6282575263,0.1888136413,0.0572869406
0.4100,0.0000000000,-0.3148916141,4.5700468305,0.1399568877,-1.1183736706
0.4200,0.0000000000,-0.2645175986,4.6282575263,0.2376703947,-0.9933033952
0.4300,0.0000000000,0.3792623187,4.6379593090,0.2767557974,-0.9432752848
0.4400,0.0000000000,0.1475418476,4.6282575263,0.3353839012,-1.3184861103
0.4500,0.0000000000,-0.1688069693,4.6670646568,0.4428687578,-1.0683455605
0.4600,0.0000000000,-0.3098542125,4.6185557437,0.4037833555,-0.2178676749
0.4700,0.0000000000,-0.6826219268,4.5894503958,0.3940120049,0.2073712774
0.4800,0.0000000000,-0.0549616944,4.5991521785,0.2767557974,0.1073150528
0.4900,0.0000000000,-0.1990313786,4.5894503958,0.1985849920,0.5075399535
0.5000,0.0000000000,0.1354520839,4.6088539611,0.1594995892,0.0823009967
